"País","Departamento","Ciudad o Municipio","Localidad","Departamento con código","Municipio con código","Comment","Comment User","Comment Date","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"Colombia","Antioquia","Angostura","No Aplica","ANTIOQUIA - 1","ANGOSTURA - 25","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","30","4sdtd"
"Colombia","Antioquia","Anori","No Aplica","ANTIOQUIA - 1","ANORI - 28","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","31","luza1"
"Colombia","Antioquia","Antioquia","No Aplica","ANTIOQUIA - 1","ANTIOQUIA - 31","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","32","zof38"
"Colombia","Antioquia","Anza","No Aplica","ANTIOQUIA - 1","ANZA - 34","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","33","sofe3"
"Colombia","Antioquia","Apartado","Comuna 1 Bernardo Jaramillo","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","34","8judz"
"Colombia","Antioquia","Apartado","Comuna 2 Ocho De Febrero","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","35","ky9qh"
"Colombia","Antioquia","Apartado","Comuna 3 Pueblo Nuevo","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","36","3r9bt"
"Colombia","Antioquia","Apartado","Comuna 4 Jose Joaquin Velez","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","37","wd13k"
"Colombia","Antioquia","Apartado","Otros","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","38","gu8s7"
"Colombia","Antioquia","Apartado","Corregimiento Churido Pueblo","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","39","ui904"
"Colombia","Antioquia","Apartado","Corregimiento Puerto Giron","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","40","kifh3"
"Colombia","Antioquia","Bello","Comuna 8 Niquia","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:03","danielb","","0","190.143.71.17","41","8su5b"
"Colombia","Antioquia","Bello","Comuna 9 Guasimalito","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:03","danielb","","0","190.143.71.17","42","dt2rb"
"Colombia","Antioquia","Bello","Comuna 10 Fontidueño","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:03","danielb","","0","190.143.71.17","43","dntsp"
"Colombia","Antioquia","Bello","Comuna 11 Zamora","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:03","danielb","","0","190.143.71.17","44","qre4g"
"Colombia","Antioquia","Bello","Otros","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:03","danielb","","0","190.143.71.17","45","bpqxf"
"Colombia","Antioquia","Apartado","Corr San Jose De Apartado","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","46","e9vin"
"Colombia","Antioquia","Apartado","Corregimiento El Reposo","ANTIOQUIA - 1","APARTADO - 35","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","47","ix52y"
"Colombia","Antioquia","Arboletes","No Aplica","ANTIOQUIA - 1","ARBOLETES - 37","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","48","p85rq"
"Colombia","Antioquia","Argelia","No Aplica","ANTIOQUIA - 1","ARGELIA - 39","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","49","9idpu"
"Colombia","Antioquia","Armenia","Otros","ANTIOQUIA - 1","ARMENIA - 40","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","50","eb1da"
"Colombia","Antioquia","Barbosa","Otros","ANTIOQUIA - 1","BARBOSA - 43","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","51","e1t4o"
"Colombia","Antioquia","Barbosa","Corregimiento El Hatillo","ANTIOQUIA - 1","BARBOSA - 43","","","","2021-12-22 16:17:20","2022-04-02 16:01:04","danielb","","0","190.143.71.17","52","1j9ep"
"Colombia","Antioquia","Belmira","No Aplica","ANTIOQUIA - 1","BELMIRA - 46","","","","2021-12-22 16:17:20","2022-04-02 16:01:04","danielb","","0","190.143.71.17","53","ynltj"
"Colombia","Antioquia","Bello","Comuna 1 Paris","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:20","2022-04-02 16:01:04","danielb","","0","190.143.71.17","54","n56l9"
"Colombia","Antioquia","Bello","Comuna 2 Madera","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:20","2022-04-02 16:01:04","danielb","","0","190.143.71.17","55","kp10o"
"Colombia","Antioquia","Bello","Comuna 3 Santa Ana","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","56","k3jnt"
"Colombia","Antioquia","Bello","Comuna 5 La Cumbre","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","57","u4z3l"
"Colombia","Antioquia","Bello","Comuna 4 Suarez","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","58","mejw7"
"Colombia","Antioquia","Bello","Comuna 6 Bellavista","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","59","ul9yn"
"Colombia","Antioquia","Bello","Comuna 7 Altos De Niquia","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","60","wu5na"
"Colombia","Antioquia","Bello","Comuna 12 San Felix","ANTIOQUIA - 1","BELLO - 49","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","61","4ipmz"
"Colombia","Antioquia","Betania","No Aplica","ANTIOQUIA - 1","BETANIA - 52","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","62","faemn"
"Colombia","Antioquia","Betulia","No Aplica","ANTIOQUIA - 1","BETULIA - 55","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","63","pgw49"
"Colombia","Antioquia","Bolivar","No Aplica","ANTIOQUIA - 1","BOLIVAR - 58","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","64","m9qxq"
"Colombia","Antioquia","Buritica","No Aplica","ANTIOQUIA - 1","BURITICA - 61","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","65","8dv4s"
"Colombia","Antioquia","Briceño","No Aplica","ANTIOQUIA - 1","BRICEÑO - 62","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","66","4j7fj"
"Colombia","Antioquia","Caceres","No Aplica","ANTIOQUIA - 1","CACERES - 64","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","67","5n8ek"
"Colombia","Antioquia","Caicedo","No Aplica","ANTIOQUIA - 1","CAICEDO - 67","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","68","vuihb"
"Colombia","Antioquia","Caldas","No Aplica","ANTIOQUIA - 1","CALDAS - 70","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","69","5o1i9"
"Colombia","Antioquia","Campamento","No Aplica","ANTIOQUIA - 1","CAMPAMENTO - 73","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","70","a6gi1"
"Colombia","Antioquia","Cañasgordas","No Aplica","ANTIOQUIA - 1","CAÑASGORDAS - 76","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","71","5lw5p"
"Colombia","Antioquia","Caracoli","No Aplica","ANTIOQUIA - 1","CARACOLI - 78","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","72","ajbod"
"Colombia","Antioquia","Caramanta","No Aplica","ANTIOQUIA - 1","CARAMANTA - 79","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","73","wwr83"
"Colombia","Antioquia","Carepa","No Aplica","ANTIOQUIA - 1","CAREPA - 80","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","74","393cr"
"Colombia","Antioquia","Carmen De Viboral","Otros","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","75","any0l"
"Colombia","Antioquia","Carmen De Viboral","Corregimiento La Esperanza","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","76","j49f"
"Colombia","Antioquia","Carmen De Viboral","Corregimiento Alto Grande","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","77","czsjc"
"Colombia","Antioquia","Carmen De Viboral","Corregimiento La Chapa","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","78","ty66a"
